,year,ticker,yearly adjsuted close,yearly percent change,year open,year adjusted close
377,2020,BAX,-5.009200000000007,-0.05893176470588243,85.0,79.9908
378,2015,BDX,2.9189999999999827,0.020809866685677497,140.27,143.189
379,2016,BDX,5.782099999999986,0.03838866020448802,150.62,156.4021
380,2017,BDX,43.303,0.26738499536894106,161.95,205.253
381,2018,BDX,3.7469000000000108,0.017420149704774797,215.09,218.8369
382,2019,BDX,45.45790000000002,0.20479299004369972,221.97,267.4279
383,2020,BDX,-22.72229999999996,-0.08351023558381404,272.09,249.3677
384,2015,BRK.B,-19.460000000000008,-0.1284488448844885,151.5,132.04
385,2016,BRK.B,32.81999999999999,0.2521511985248924,130.16,162.98
386,2017,BRK.B,33.879999999999995,0.20615796519410973,164.34,198.22
387,2018,BRK.B,5.310000000000002,0.026700859858198835,198.87,204.18
388,2019,BRK.B,24.77000000000001,0.12278788479651025,201.73,226.5
389,2020,BRK.B,4.360000000000014,0.019163992791525707,227.51,231.87
390,2015,BBY,-13.1768,-0.33640030635690576,39.17,25.9932
391,2016,BBY,8.287200000000002,0.27772117962466497,29.84,38.1272
392,2017,BBY,19.664700000000003,0.45678745644599317,43.05,62.7147
393,2018,BBY,-18.466700000000003,-0.27053472018751834,68.26,49.7933
394,2019,BBY,32.7115,0.6267771603755509,52.19,84.9015
395,2020,BBY,10.781599999999997,0.12197759927593615,88.39,99.1716
396,2015,BIO,17.189999999999998,0.14151642380834772,121.47,138.66
397,2016,BIO,45.69,0.33450472216121235,136.59,182.28
398,2017,BIO,55.70999999999998,0.30449278530826396,182.96,238.67
399,2018,BIO,-6.449999999999989,-0.02702476222399124,238.67,232.22
400,2019,BIO,140.29999999999998,0.6107169285683193,229.73,370.03
401,2020,BIO,210.86000000000007,0.5667060847129651,372.08,582.94
402,2015,BIIB,-36.48999999999995,-0.10643448839108609,342.84,306.35
403,2016,BIIB,-16.75999999999999,-0.05580342278750747,300.34,283.58
404,2017,BIIB,32.75,0.11458260443635855,285.82,318.57
405,2018,BIIB,-20.22999999999996,-0.06299237116612164,321.15,300.92
406,2019,BIIB,-0.1099999999999568,-0.00037057000404243633,296.84,296.73
407,2020,BIIB,-54.19999999999999,-0.1812345348759446,299.06,244.86
408,2015,BLK,-60.36540000000002,-0.16862785630482155,357.98,297.6146
409,2016,BLK,8.0933,0.0243012851309152,333.04,341.1333
410,2017,BLK,86.7527,0.22555431334823983,384.62,471.3727
411,2018,BLK,-149.1995,-0.2875968618682293,518.78,369.5805
412,2019,BLK,100.94740000000002,0.2613321942632288,386.28,487.2274
413,2020,BLK,207.20450000000005,0.40628333333333344,510.0,717.2045
414,2015,BA,-1.471100000000007,-0.011223773556115106,131.07,129.5989
415,2016,BA,2.8881000000000085,0.02042792474183059,141.38,144.2681
416,2017,BA,124.69220000000001,0.7977747920665388,156.3,280.9922
417,2018,BA,17.642200000000003,0.059652409129332215,295.75,313.3922
418,2019,BA,7.628899999999987,0.024127581517442005,316.19,323.8189
419,2020,BA,-114.49000000000001,-0.3484705524273322,328.55,214.06
420,2015,BKNG,130.95000000000005,0.11446678321678326,1144.0,1274.95
421,2016,BKNG,210.05999999999995,0.16724522292993627,1256.0,1466.06
422,2017,BKNG,260.8299999999999,0.1766052095252926,1476.91,1737.74
423,2018,BKNG,-27.669999999999845,-0.015810615454062274,1750.09,1722.42
424,2019,BKNG,362.48,0.21432668144863268,1691.25,2053.73
425,2020,BKNG,158.8699999999999,0.07680816089731188,2068.4,2227.27
426,2015,BWA,-15.518500000000003,-0.28092867487328027,55.24,39.7215
427,2016,BWA,-5.6702999999999975,-0.13348163841807906,42.48,36.8097
428,2017,BWA,8.395900000000005,0.21042355889724323,39.9,48.2959
429,2018,BWA,-18.040300000000002,-0.35111521992993383,51.38,33.3397
